Country,Population levels,GDP per capita,Alcohol Per Capita,Water Per Capita
Australia,22298,40790,10.3,640
Austria,8390,40065,12.2,430
Belgium,10896,37728,10.8,590
Canada,34109,39050,8.2,1130
Chile,17094,16156,8.6,2200
Czech Republic,10520,25258,11.4,190
Denmark,5548,40190,10.3,120
Estonia,1340,20393,11.4,1380
Finland,5363,36307,9.7,320
France,62959,34256,12,530
Germany,81777,37430,11.7,390
Greece,11308,28444,8.2,850
Hungary,10000,20556,11.5,540
Iceland,318,35593,7.3,560
Ireland,4474,40478,11.9,170
Israel,7624,26531,2.4,220
Italy,60483,31911,6.9,910
Japan,128057,33785,7.3,650
South Korea,49410,28797,12.1,610
Luxembourg,507,86269,15.3,90
Mexico,108396,15195,5.9,750
Netherlands,16615,42196,9.4,640
New Zealand,4368,29711,9.5,1190
Norway,4889,57259,6.6,640
Poland,38187,19908,10.1,300
Portugal,10637,25444,11.4,860
Slovak Republic,5430,23264,10.7,140
Slovenia,2049,26941,10.3,470
Spain,46071,31904,11.4,710
Sweden,9378,39346,7.3,290
Switzerland,7822,48657,10,360
Turkey,72698,15604,1.5,560
United Kingdom,61344,35687,10.2,140
United States,309330,46588,8.7,1630
Brazil,193253,11239,7.1,290
China,1341335,7519,4.7,440
India,1224614,3339,1,0.0
Indonesia,239871,4394,0.1,10
Russia,142958,19833,11.5,490
South Africa,50133,10498,5.5,300
