Year,Annual Inflation Rate,Actual Minimum Wage,1938 Minimum Inflated,1945 Minimum Inflated,1950 Minimum Inflated,1956 Minimum Inflated,1963 Minimum Inflated,1968 Minimum Inflated,1974 Minimum Inflated
1938,0.0071,0.25,0.25,NaN,NaN,NaN,NaN,NaN,NaN
1939,-0.0141,0.30,0.25,NaN,NaN,NaN,NaN,NaN,NaN
1940,-0.0071,0.30,0.24,NaN,NaN,NaN,NaN,NaN,NaN
1941,0.0144,0.30,0.25,NaN,NaN,NaN,NaN,NaN,NaN
1942,0.1135,0.30,0.28,NaN,NaN,NaN,NaN,NaN,NaN
1943,0.0764,0.30,0.30,NaN,NaN,NaN,NaN,NaN,NaN
1944,0.0296,0.30,0.31,NaN,NaN,NaN,NaN,NaN,NaN
1945,0.0230,0.40,0.31,$0.40,NaN,NaN,NaN,NaN,NaN
1946,0.0225,0.40,0.32,0.41,NaN,NaN,NaN,NaN,NaN
1947,0.1813,0.40,0.38,0.48,NaN,NaN,NaN,NaN,NaN
1948,0.1023,0.40,0.42,0.53,NaN,NaN,NaN,NaN,NaN
1949,0.0127,0.40,0.42,0.54,NaN,NaN,NaN,NaN,NaN
1950,-0.0208,0.75,0.41,0.53,0.75,NaN,NaN,NaN,NaN
1951,0.0809,0.75,0.45,0.57,0.81,NaN,NaN,NaN,NaN
1952,0.0433,0.75,0.47,0.6,0.85,NaN,NaN,NaN,NaN
1953,0.0038,0.75,0.47,0.6,0.85,NaN,NaN,NaN,NaN
1954,0.0113,0.75,0.47,0.6,0.86,NaN,NaN,NaN,NaN
1955,-0.0074,0.75,0.47,0.6,0.85,NaN,NaN,NaN,NaN
1956,0.0037,1.00,0.47,0.6,0.86,1.00,NaN,NaN,NaN
1957,0.0299,1.00,0.49,0.62,0.88,1.03,NaN,NaN,NaN
1958,0.0362,1.00,0.50,0.64,0.91,1.07,NaN,NaN,NaN
1959,0.0140,1.00,0.51,0.65,0.93,1.08,NaN,NaN,NaN
1960,0.0103,1.00,0.52,0.66,0.94,1.09,NaN,NaN,NaN
1961,0.0171,1.15,0.52,0.67,0.95,1.11,NaN,NaN,NaN
1962,0.0067,1.15,0.53,0.67,0.96,1.12,NaN,NaN,NaN
1963,0.0133,1.25,0.54,0.68,0.97,1.13,1.25,NaN,NaN
1964,0.0164,1.25,0.54,0.69,0.99,1.15,1.27,NaN,NaN
1965,0.0097,1.25,0.55,0.7,1.00,1.16,1.28,NaN,NaN
1966,0.0192,1.25,0.56,0.71,1.01,1.19,1.31,NaN,NaN
1967,0.0346,1.40,0.58,0.74,1.05,1.23,1.35,NaN,NaN
1968,0.0365,1.60,0.60,0.77,1.09,1.27,1.40,1.60,NaN
1969,0.0440,1.60,0.63,0.8,1.14,1.33,1.46,1.67,NaN
1970,0.0618,1.60,0.67,0.85,1.21,1.41,1.55,1.77,NaN
1971,0.0529,1.60,0.70,0.89,1.27,1.48,1.64,1.87,NaN
1972,0.0327,1.60,0.72,0.92,1.31,1.53,1.69,1.93,NaN
1973,0.0365,1.60,0.75,0.96,1.36,1.59,1.75,2.00,NaN
1974,0.0939,2.00,0.82,1.05,1.49,1.74,1.92,2.19,2.00
1975,0.1180,2.10,0.92,1.17,1.66,1.94,2.14,2.44,2.24
1976,0.0672,2.30,0.98,1.25,1.77,2.07,2.29,2.61,2.39
1977,0.0522,2.30,1.03,1.31,1.87,2.18,2.41,2.75,2.51
1978,0.0684,2.65,1.10,1.4,1.99,2.33,2.57,2.93,2.68
1979,0.0928,2.90,1.20,1.54,2.18,2.55,2.81,3.21,2.93
1980,0.1391,3.10,1.37,1.75,2.48,2.90,3.20,3.65,3.34
1981,0.1183,3.35,1.53,1.96,2.78,3.25,3.58,4.08,3.73
1982,0.0839,3.35,1.66,2.12,3.01,3.52,3.88,4.43,4.05
1983,0.0371,3.35,1.72,2.2,3.12,3.65,4.02,4.59,4.20
1984,0.0419,3.35,1.79,2.29,3.25,3.80,4.19,4.78,4.37
1985,0.0353,3.35,1.86,2.37,3.37,3.94,4.34,4.95,4.53
1986,0.0389,3.35,1.93,2.46,3.50,4.09,4.51,5.14,4.70
1987,0.0146,3.35,1.96,2.5,3.55,4.15,4.57,5.22,4.77
1988,0.0405,3.35,2.04,2.6,3.69,4.32,4.76,5.43,4.97
1989,0.0467,3.35,2.13,2.72,3.87,4.52,4.98,5.68,5.20
1990,0.0520,3.80,2.24,2.86,4.07,4.75,5.24,5.98,5.47
1991,0.0565,4.25,2.37,3.03,4.30,5.02,5.54,6.32,5.78
1992,0.0260,4.25,2.43,3.1,4.41,5.15,5.68,6.48,5.93
1993,0.0326,4.25,2.51,3.21,4.55,5.32,5.86,6.69,6.12
1994,0.0252,4.25,2.57,3.29,4.67,5.46,6.01,6.86,6.28
1995,0.0280,4.25,2.65,3.38,4.80,5.61,6.18,7.05,6.45
1996,0.0273,4.75,2.72,3.47,4.93,5.76,6.35,7.25,6.63
1997,0.0304,5.15,2.80,3.58,5.08,5.94,6.54,7.47,6.83
1998,0.0157,5.15,2.85,3.63,5.16,6.03,6.64,7.58,6.94
1999,0.0167,5.15,2.89,3.69,5.24,6.13,6.76,7.71,7.05
2000,0.0274,5.15,2.97,3.79,5.39,6.30,6.94,7.92,7.24
2001,0.0373,5.15,3.08,3.94,5.59,6.53,7.20,8.22,7.51
2002,0.0114,5.15,3.12,3.98,5.65,6.61,7.28,8.31,7.60
2003,0.0260,5.15,3.20,4.08,5.80,6.78,7.47,8.53,7.80
2004,0.0193,5.15,3.26,4.16,5.91,6.91,7.62,8.69,7.95
2005,0.0297,5.15,3.36,4.29,6.09,7.12,7.84,8.95,8.18
2006,0.0399,5.15,3.49,4.46,6.33,7.40,8.15,9.31,8.51
2007,0.0208,5.85,3.56,4.55,6.46,7.55,8.32,9.50,8.69
2008,0.0428,6.55,3.72,4.74,6.74,7.88,8.68,9.91,9.06
2009,0.0003,7.25,3.72,4.75,6.74,7.88,8.68,9.91,9.06
2010,0.0263,7.25,3.82,4.87,6.92,8.09,8.91,10.17,9.30
2011,0.0163,7.25,3.88,4.95,7.03,8.22,9.06,10.33,9.45
2012,0.0293,7.25,3.99,5.1,7.24,8.46,9.32,10.64,9.73
2013,0.0159,7.25,4.06,5.18,7.35,8.59,9.47,10.81,9.88
2014,0.0158,7.25,4.12,5.26,7.47,8.73,9.62,10.98,10.04
2015,-0.0009,7.25,4.12,5.25,7.46,8.72,9.61,10.97,10.03
2016,0.0137,7.25,4.17,5.33,7.56,8.84,9.74,11.12,10.17
