Area Name,latitude,longitude,Median Wage Annually,Employment
"Appleton, WI",44.261134,-88.40676,33915,117050
"Chicago-Joliet-Naperville, IL-IN-WI",41.875555,-87.624421,37590,4411860
"Duluth, MN-WI",46.772932,-92.125122,33712,124740
"Eau Claire, WI",44.811349,-91.498494,32288,78930
"Fond du Lac, WI",39.78373,-100.445882,33290,44690
"Green Bay, WI",44.529941,-88.024832,34080,165500
"Janesville, WI",42.715185,-88.990774,31980,61860
"La Crosse, WI-MN",43.880437,-91.254841,33464,73590
"Madison, WI",43.074761,-89.383761,38525,347750
"Milwaukee-Waukesha-West Allis, WI",43.034993,-88.093997,36507,821010
"Minneapolis-St. Paul-Bloomington, MN-WI",44.950404,-93.301503,41136,1824720
"Oshkosh-Neenah, WI",44.020692,-88.540857,34319,90590
"Racine, WI",42.726052,-87.782524,32775,73220
"Sheboygan, WI",43.750828,-87.71453,34150,57860
"Wausau, WI",44.959602,-89.629824,33642,66970
