county,value
Adams,45366
Ashland,39172
Barron,44709
Bayfield,45158
Brown,53254
Buffalo,48585
Burnett,40722
Calumet,66250
Chippewa,51428
Clark,43515
Columbia,58703
Crawford,43638
Dane,62303
Dodge,53189
Door,50078
Douglas,44956
Dunn,49897
Eau Claire,48209
Florence,49703
Fond du Lac,54529
Forest,40331
Grant,47266
Green,54868
Green Lake,46502
Iowa,54390
Iron,41900
Jackson,44699
Jefferson,54522
Juneau,45135
Kenosha,54653
Kewaunee,53023
La Crosse,50769
Lafayette,50154
Langlade,40994
Lincoln,49189
Manitowoc,48629
Marathon,53779
Marinette,41364
Marquette,46875
Menominee,37740
Milwaukee,43385
Monroe,49752
Oconto,51695
Oneida,45736
Outagamie,58421
Ozaukee,75643
Pepin,49321
Pierce,61613
Polk,49679
Portage,50837
Price,43581
Racine,55055
Richland,44785
Rock,49645
Rusk,38728
St. Croix,70313
Sauk,50982
Sawyer,40658
Shawano,46903
Sheboygan,53029
Taylor,45424
Trempealeau,49493
Vernon,47075
Vilas,40501
Walworth,53998
Washburn,41749
Washington,67650
Waukesha,76319
Waupaca,52007
Waushara,43982
Winnebago,51949
Wood,48241
